treeid,datetime,F_kN,strap_ht_m,tilt,diam_cm
GP029,2020-07-29T14:39:00Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:01Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:02Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:03Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:04Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:05Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:06Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:07Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:08Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:09Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:10Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:11Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:12Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:13Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:14Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:15Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:16Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:17Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:18Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:19Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:20Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:21Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:22Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:23Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:24Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:25Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:26Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:27Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:28Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:29Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:30Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:31Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:32Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:33Z,NA,5.8,NA,41.4
GP029,2020-07-29T14:39:34Z,NA,5.8,NA,41.4
